Diet,Source,Donor,CollectionMet,Sex,OTU4496,OTU4154,OTU3857,OTU618,OTU5948,OTU5429,OTU3994,OTU5691,OTU5937,OTU6256,OTU5319,OTU1062,OTU1347,OTU710,OTU3263,OTU1333,OTU3991,OTU3406,OTU5420,OTU708,OTU4435,OTU2839,OTU5741,OTU1150,OTU453,OTU254,OTU4380,OTU1100,OTU1901,OTU5417,OTU5499,OTU4257,OTU6224,OTU1177,OTU675,OTU3102,OTU1132,OTU1462,OTU1629,OTU3828,OTU5502,OTU1812,OTU2728,OTU5711,OTU1779,OTU2516,OTU4877,OTU155,OTU4273,OTU4969
0,5,0,0,0,0.204092623,0.017770598,0.029617663,1.96e-11,0.008077544,0.011847065,7.36e-11,1.92e-11,0.04900377,0.019386107,0.016693592,8.48e-11,0.001615509,0.001615509,2.16e-11,0.077544426,0.047388261,0.00538503,0.001615509,0.000538503,0.003769521,0.012924071,1.9e-11,0.079698438,0.000538503,8.54e-12,4.08e-11,6.91e-11,5.23e-11,0.000538503,6.68e-11,0.023155627,0.000538503,0.055465805,0.001615509,5.34e-11,9.65e-12,0.001077006,0.007000539,7.46e-11,0.031771675,0.004846527,6.8e-11,4.65e-11,9.72e-11,2.59e-12,0.051696284,0.004308024,0.010231556,9.07e-11
0,8,0,1,0,0.311575283,0.006092254,0.01305483,3.49e-11,0.014795474,0.006092254,8.81e-11,2.02e-11,0.023498695,0.009573542,0.007832898,9.42e-11,0.005221932,0.001740644,6.72e-12,0.000870322,0.073977372,0.006962576,0.000870322,4.21e-11,0.00435161,0.005221932,1.41e-11,0.072236728,4.65e-11,2.34e-11,0.000870322,1.37e-11,4.29e-11,8.34e-11,0.012184508,0.009573542,8.6e-11,0.01740644,0.000870322,1.83e-11,8.24e-11,0.001740644,0.000870322,3.28e-11,0.020887728,8.68e-11,0.000870322,0.100957354,3.77e-11,5.64e-14,0.013925152,0.001740644,0.009573542,7.4e-12
0,8,0,0,0,0.230769231,0.009340659,0.027472527,2.74e-11,0.003296703,0.007142857,0.001648352,2.26e-11,0.055494505,0.022527473,0.014285714,9.34e-11,0.001648352,0.000549451,8.87e-12,0.05989011,0.032967033,0.005494505,1.31e-11,4.26e-11,0.002747253,0.014285714,2.8e-11,0.076373626,0.000549451,8.23e-11,8.54e-11,7.92e-11,9.34e-11,1.95e-11,1.44e-11,0.021978022,0.000549451,0.074725275,1.34e-11,0.000549451,7.01e-11,0.003296703,0.004395604,1.46e-11,0.028021978,0.007142857,2.9e-11,2.55e-11,0.000549451,3.02e-11,0.041208791,0.006593407,0.01978022,0.001648352
0,9,0,1,0,0.39103139,0.006278027,0.005381166,6.73e-11,0.003587444,6.99e-11,2.37e-11,1.55e-11,0.012556054,0.003587444,0.004484305,0.000896861,7.97e-12,0.003587444,1.36e-12,7.96e-11,0.097757848,0.001793722,0.001793722,2.13e-11,0.00896861,0.004484305,9.25e-11,0.038565022,6.53e-11,2.15e-12,1.25e-11,2.88e-11,6.48e-11,1.83e-11,0.011659193,0.00896861,5.22e-11,0.032286996,0.000896861,7.08e-11,7.79e-11,0.000896861,0.000896861,5.36e-11,0.032286996,2.33e-11,2.7e-11,0.078026906,8.7e-11,0.000896861,0.015246637,0.004484305,0.013452915,8.68e-11
0,9,0,0,0,0.191456903,0.003051106,0.018306636,0.000762777,0.00228833,0.00228833,6.47e-11,2.79e-11,0.038901602,0.008390542,0.032036613,7.29e-11,0.001525553,0.001525553,5.14e-11,0.154080854,0.016018307,0.003813883,6.07e-11,9.64e-11,3.85e-11,0.009153318,1.87e-11,0.102212052,7.74e-11,2.57e-11,5.52e-11,7.09e-11,1.03e-11,6.96e-11,2.3e-11,0.012204424,4.16e-11,0.09382151,0.000762777,8.65e-11,1.02e-11,5.53e-11,0.009153318,4.01e-11,0.027459954,0.006102212,3.4e-11,1.64e-12,0.00228833,7.32e-11,0.029748284,0.004576659,0.019069413,5.79e-11
0,10,0,1,0,0.344731978,0.00323475,0.010628466,6.22e-11,0.003696858,0.000462107,6.09e-12,8.1e-11,0.022643253,0.00323475,0.001848429,7.75e-11,1.26e-11,2.19e-11,0.015249538,0.197781885,0.018946396,0.004621072,7.17e-12,1.36e-11,0.002310536,0.053142329,3.85e-12,0.106746765,6.09e-11,6.76e-11,1.09e-11,9.16e-11,5.93e-11,7.64e-11,5.62e-11,0.013401109,5.16e-12,0.017560074,1.69e-11,4.88e-11,4.03e-11,2.7e-11,0.000462107,5.5e-11,0.017097967,0.000924214,1.87e-11,0.000462107,2.8e-11,5.73e-11,0.003696858,0.005083179,0.007855823,0.000462107
0,10,0,0,0,0.253914989,0.002982849,0.009321402,6.41e-11,0.001118568,9.29e-11,3.08e-11,1.18e-11,0.021252796,0.003728561,0.005592841,6.72e-11,5.15e-11,0.001118568,7.28e-11,0.258016406,0.023489933,0.004101417,0.001491424,2.5e-11,0.00186428,0.032065623,6.99e-11,0.145786726,7.98e-11,6.06e-11,5.87e-11,3.72e-11,3.48e-11,6.44e-11,8.04e-11,0.011558538,5.49e-11,0.035421327,2.79e-11,8.73e-11,2.1e-12,0.001491424,0.004474273,5.96e-11,0.022744221,0.002237136,7.73e-11,2.26e-12,0.000745712,4.02e-11,0.005219985,0.005965697,0.011931394,1.62e-11
0,0,0,1,0,0.267487409,0.213206491,0.054840515,5.54e-11,0.027420257,0.041410185,0.000559597,9.39e-11,0.020145495,0.045886961,0.002797985,9.36e-11,0.022383884,0.001678791,0.007834359,0.001119194,0.03469502,0.011191942,0.007274762,0.001119194,0.002797985,0.012870733,4.14e-11,0.007274762,7.61e-12,6.43e-12,6.98e-11,3.16e-11,7.37e-11,0.005595971,4.87e-11,0.010632345,0.001119194,0.015668719,0.005036374,8.69e-11,7.57e-12,0.000559597,0.002238388,8.66e-11,0.011751539,0.000559597,1.75e-11,4.77e-11,9.07e-11,1.5e-11,0.012870733,0.002797985,0.000559597,2.98e-11
0,0,0,0,0,0.157230559,0.281036835,0.039563438,9.8e-11,0.046043656,0.072476126,0.006480218,5.58e-11,0.025579809,0.042974079,0.002899045,6.59e-11,0.03393588,0.001364256,1.15e-11,0.001875853,0.021316508,0.025579809,0.017905866,0.000170532,0.003581173,0.003069577,4.89e-11,0.011255116,4.73e-12,9.49e-11,5.06e-11,4.04e-11,8.67e-11,0.004263302,1.12e-11,0.010402456,0.000682128,0.014836289,0.005968622,5.91e-11,2.16e-11,0.001023192,0.003922237,8.65e-11,0.009379263,0.002728513,6.23e-11,2.18e-11,7.21e-11,5.29e-11,0.016712142,0.002387449,0.002899045,6.32e-11
0,1,0,1,0,0.156722355,0.281622912,0.038186158,3.67e-11,0.044550517,0.052505967,0.00636436,7.77e-11,0.038186158,0.053301512,0.000795545,6.88e-11,0.038186158,0.00159109,3.57e-11,5.52e-11,0.013524264,0.022275259,0.020684169,5.59e-11,2.32e-12,0.003977725,9.79e-11,0.016706444,5.42e-11,4.02e-11,6.46e-11,2.54e-11,3.18e-12,0.00318218,0.008750994,0.009546539,0.00159109,0.002386635,0.00318218,7.4e-11,3.32e-11,0.00159109,0.003977725,3.11e-11,0.00159109,2.91e-11,0.00159109,4.05e-11,4.66e-11,0.000795545,0.00159109,8.63e-11,0.000795545,0.000795545
0,1,0,0,0,0.249077491,0.259686347,0.03597786,9.62e-11,0.038745387,0.054428044,0.003690037,8.08e-11,0.022140221,0.036439114,0.001383764,1.47e-12,0.02398524,0.000461255,3.95e-11,0.003690037,0.018450185,0.025830258,0.011531365,7.35e-12,0.004151292,0.000922509,3.57e-11,0.013837638,3.96e-11,2.64e-11,6.94e-11,2.63e-12,6.49e-11,0.007380074,5.15e-11,0.008302583,0.001383764,0.012453875,0.003690037,1.34e-12,7.28e-11,0.000922509,0.001383764,7.26e-11,0.010147601,0.004612546,9.24e-11,7.95e-11,7.31e-11,1.59e-12,0.012915129,0.001845018,0.003228782,0.000461255
0,2,0,1,0,0.254229096,0.221362977,0.043499275,3.44e-11,0.02658289,0.039632673,0.003383277,1.86e-11,0.028999517,0.038182697,0.001933301,1.69e-11,0.024166264,0.003383277,0.011116481,0.002899952,0.025132914,0.018849686,0.013049783,3.03e-11,0.002899952,0.020782987,3.92e-11,0.014499758,1.43e-11,2.15e-11,4.4e-11,1.26e-11,9.76e-11,0.006766554,4.64e-11,0.010633156,0.000483325,0.010633156,0.003866602,6.65e-12,3.91e-11,0.000483325,0.003383277,1.23e-11,0.012566457,6.74e-11,3.5e-11,9.75e-11,3.93e-11,0.000483325,0.009666506,0.000483325,0.002899952,7.02e-11
0,2,0,0,0,0.254955571,0.213943951,0.041695147,4.9e-11,0.032125769,0.034859877,0.002734108,2.56e-11,0.028024607,0.032125769,0.000683527,3.18e-11,0.025974026,0.002734108,4.17e-11,0.002050581,0.026657553,0.017771702,0.01367054,5.86e-11,0.002050581,0.006151743,8.94e-11,0.021872864,4.74e-11,5.68e-11,9.11e-11,6.12e-11,6.44e-11,0.002050581,4.14e-11,0.014354067,0.002050581,0.010936432,0.003417635,6.68e-11,1.67e-11,0.000683527,0.004101162,3.05e-12,0.01367054,0.004784689,6.45e-11,2.62e-11,1.73e-11,2.76e-11,0.008885851,0.001367054,0.002734108,4.89e-11
